myv_van_id,contact_type_name,datetime_canvassed,master_survey_question_name,master_survey_response_name
32766551,Walk,2018-09-02 14:33:00 UTC,MSQ2018: VOL DCCC,2= No
7509,Walk,2018-09-09 16:46:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3620195,Walk,2018-07-17 21:08:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
3586573,Walk,2018-11-04 13:37:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
40463714,Walk,2018-10-20 14:01:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
3456475,SMS Text,2018-10-20 14:17:00 UTC,2018MSQ: Erly Vt Cmt,Mail
3580455,SMS Text,2018-10-24 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
19427778,Phone,2016-10-25 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
4222343,Phone,2016-09-24 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
4358650,Phone,2016-10-14 00:00:00 UTC,**16cccRecVBMApp,Voting in Person
2411410,Phone,2016-01-30 00:00:00 UTC,**MSQ2016 Ticket,5 - Strong Against
3653337,Phone,2016-10-17 00:00:00 UTC,MSQ2016 POTUS,5 - Support GOP
3984155,Phone,2018-06-16 00:00:00 UTC,MSQ2018: Pri-ID DCCC,4-No Support Rep
3851637,Phone,2018-02-24 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3576804,Phone,2016-09-27 12:34:00 UTC,**16cccRecVBMApp,"Yes, Received"
3976059,Phone,2018-10-24 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3821968,Phone,2018-09-15 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
615445,Phone,2018-10-14 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3513856,Phone,2018-10-20 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
3738733,Walk,2018-02-17 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
4102119,Walk,2016-10-29 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3847006,Walk,2017-12-21 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3116725,Walk,2016-10-01 00:00:00 UTC,MSQ2016 POTUS,5 - Support GOP
4060341,Walk,2018-09-15 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
4088916,Walk,2018-10-21 16:25:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3885223,Walk,2018-10-14 00:00:00 UTC,MSQ2016 State House,4 - Lean GOP
20826040,Walk,2018-09-01 12:21:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
3358310,Walk,2018-10-27 18:43:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
3686885,Walk,2018-10-03 15:41:00 UTC,MSQ2018:CONG ID DCCC,4 - Lean GOP
39581749,Walk,2018-08-05 17:21:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
20119288,Walk,2018-08-02 20:00:00 UTC,MSQ2018: VOL DCCC,2= No
32630892,Walk,2018-11-06 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Not Voting
4448788,Paid Walk,2018-10-17 20:19:00 UTC,2018MSQ: D Ticket ID,T- Ticket Splitter
2154248,SMS Text,2018-10-27 17:04:00 UTC,2018MSQ: Erly Vt Cmt,Not Voting
3431917,Phone,2016-09-21 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3580356,Phone,2016-10-08 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3385757,Phone,2018-10-02 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3850160,Phone,2016-01-21 00:00:00 UTC,**MSQ2016 Ticket,5 - Strong Against
12777375,Phone,2018-10-04 00:00:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
4258549,Phone,2016-10-29 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3293610,Phone,2016-09-24 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
4186850,Phone,2018-06-16 00:00:00 UTC,MSQ2018: Pri-ID DCCC,4-No Support Rep
3496102,Phone,2018-06-27 00:00:00 UTC,MSQ2018: Pri-ID DCCC,3-No Other Dem
544812,Phone,2018-02-19 15:45:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
4326264,Phone,2018-10-11 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3356260,Phone,2018-10-13 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3536654,Phone,2018-09-15 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3880539,Phone,2018-10-27 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
3887045,Phone,2018-10-17 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
36949951,Walk,2016-11-17 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
13248949,Walk,2018-01-08 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
12716678,Walk,2016-10-23 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3740116,Walk,2017-12-10 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3781954,Walk,2016-10-14 00:00:00 UTC,MSQ2016 Vote Plan,Early Vote
3227505,Walk,2018-02-04 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3385757,Walk,2018-03-04 17:38:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
27992777,Walk,2018-09-30 12:41:00 UTC,2018MSQ: CandidNomin,d- 1—Splitter moreDs
3537082,Walk,2018-10-12 18:28:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3458860,Walk,2018-04-22 14:18:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3424726,Walk,2018-04-15 15:52:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3569074,Walk,2018-09-17 00:00:00 UTC,MSQ2016 State House,5 - Support GOP
4042038,Walk,2018-09-12 15:56:00 UTC,MSQ2018: VOL DCCC,2= No
28040017,Walk,2018-09-29 00:00:00 UTC,MSQ2016 State House,5 - Support GOP
4089832,Walk,2018-01-06 15:21:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3851637,Walk,2018-01-27 12:34:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3847844,Walk,2018-10-28 14:18:00 UTC,MSQ2018:CONG ID DCCC,4 - Lean GOP
13823507,Walk,2018-04-08 14:34:00 UTC,MSQ2018: VOL DCCC,2= No
29234893,Walk,2018-10-20 13:26:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
39577248,Walk,2018-10-26 19:16:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
3251584,Walk,2018-10-11 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
15607820,Paid Walk,2018-10-11 19:15:00 UTC,2018MSQ: D Ticket ID,T- Ticket Splitter
3200213,Phone,2018-08-07 00:00:00 UTC,2018MSQ: CandidNomin,T - Ticket Splitter
3306921,Phone,2015-03-30 00:00:00 UTC,15 MSQ: Generic ID,2 - Lean Democrat
3367488,Phone,2018-09-11 00:00:00 UTC,2018MSQ: D Ticket ID,T- Ticket Splitter
3763861,Phone,2018-05-08 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3984155,Phone,2018-06-16 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
8503263,Phone,2016-10-25 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3222073,Phone,2016-10-03 16:28:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3781954,Phone,2018-09-19 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
4049351,Phone,2018-09-29 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
4001249,Phone,2018-10-13 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
3487302,Phone,2018-10-10 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
32336662,Walk,2016-10-29 00:00:00 UTC,MSQ2016 State House,4 - Lean GOP
2324398,Walk,2018-10-31 12:24:00 UTC,2018MSQ: Erly Vt Cmt,Mail
37948931,Walk,2016-09-03 00:00:00 UTC,MSQ2016 State House,5 - Support GOP
13717720,Walk,2018-10-19 19:17:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3624954,Walk,2018-08-02 15:52:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3719317,Walk,2018-09-16 12:38:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
4274176,Walk,2018-05-20 16:50:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3722801,Walk,2018-09-14 14:09:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
38463418,Walk,2018-10-07 14:36:00 UTC,MSQ2018:CONG ID DCCC,4 - Lean GOP
13522481,Walk,2018-08-11 14:58:00 UTC,MSQ2018: VOL DCCC,2= No
2408285,Walk,2017-12-23 14:23:00 UTC,MSQ2018: VOL DCCC,1= Yes
3719317,Walk,2018-09-16 12:37:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
3629710,Walk,2017-12-23 14:23:00 UTC,MSQ2018: VOL DCCC,1= Yes
37279460,Walk,2018-11-04 18:28:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
39581817,Walk,2018-08-04 12:52:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
20325132,Walk,2018-09-27 12:01:00 UTC,MSQ2018: VOL DCCC,1= Yes
3312908,Walk,2018-05-12 13:07:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
19794762,SMS Text,2018-10-28 14:02:00 UTC,2018MSQ: Erly Vt Cmt,Mail
20621751,Phone,2018-07-18 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3847006,Phone,2018-03-05 00:00:00 UTC,MSQ2018: Pri-ID DCCC,3-No Other Dem
3653337,Phone,2016-10-17 00:00:00 UTC,**MSQ2016 Ticket,5 - Strong Against
3550043,Phone,2018-10-07 00:00:00 UTC,MSQ2018: VOL DCCC,1= Yes
4807585,Phone,2018-08-08 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
2409765,Phone,2018-06-20 00:00:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
4328789,Phone,2016-10-11 00:00:00 UTC,**MSQ2016 Ticket,Ticket Splitter
3760675,Phone,2016-01-21 00:00:00 UTC,**MSQ2016 Ticket,5 - Strong Against
20245859,Phone,2018-02-07 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3415107,Phone,2018-10-02 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3675668,Phone,2016-09-24 12:10:00 UTC,**16cccRecVBMApp,"No, Not Received"
3796895,Phone,2018-09-04 16:09:00 UTC,MSQ2018: VOL DCCC,2= No
3629710,Phone,2018-02-19 15:56:00 UTC,MSQ2018: VOL DCCC,1= Yes
3200165,Phone,2018-09-18 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3339962,Phone,2018-09-18 00:00:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
37674021,Walk,2016-06-25 00:00:00 UTC,15 MSQ: Generic ID,1 - Strong Democrat
37674022,Walk,2016-06-25 00:00:00 UTC,15 MSQ: Generic ID,1 - Strong Democrat
37494389,Walk,2016-11-05 00:00:00 UTC,MSQ2016 Vote Plan,Early Vote
12716678,Walk,2017-11-11 00:00:00 UTC,2014MSQ: Ticket,1 - Strong Democrat
3741738,Walk,2016-11-01 00:00:00 UTC,MSQ2016 Vote Plan,Early Vote
32336662,Walk,2016-10-29 00:00:00 UTC,**MSQ2016 Ticket,5 - Strong Against
20279513,Walk,2016-04-16 00:00:00 UTC,MSQ2016 Party ID,3 - Neither/Unsure
28682169,Walk,2016-10-29 00:00:00 UTC,**MSQ2016 Ticket,Ticket Splitter
19889529,Walk,2018-07-30 00:00:00 UTC,MSQ2016 State House,2 - Lean Dem
20021412,Walk,2018-10-28 17:42:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3232506,Walk,2018-10-14 16:36:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
3484842,Walk,2018-08-18 19:09:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
3227866,Walk,2018-09-29 00:00:00 UTC,MSQ2016 State House,5 - Support GOP
13220731,Walk,2018-10-21 15:48:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
5068992,Walk,2018-01-03 14:39:00 UTC,MSQ2018: VOL DCCC,2= No
17559452,Walk,2018-07-14 15:45:00 UTC,MSQ2018: VOL DCCC,1= Yes
3680193,Walk,2018-01-14 15:54:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3675147,Walk,2018-01-13 14:51:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
23545664,Walk,2018-10-27 18:51:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
32341026,Walk,2018-10-13 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Not Voting
3564595,Walk,2018-10-14 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
14905456,SMS Text,2018-10-31 20:06:00 UTC,2018MSQ: Erly Vt Cmt,Mail
31817611,Phone,2016-11-14 00:00:00 UTC,**MSQ2016 Ticket,5 - Strong Against
32628591,Phone,2018-10-13 00:00:00 UTC,2018MSQ: D Ticket ID,i- Independent
4094181,Phone,2015-06-15 00:00:00 UTC,MSQ2016 Volunteer,Maybe/Depends
2050231,Phone,2016-10-08 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
4186850,Phone,2018-06-16 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
23638991,Phone,2016-11-14 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
20718984,Phone,2018-08-20 00:00:00 UTC,MSQ2018: VOL DCCC,1= Yes
3222073,Phone,2016-10-03 16:28:00 UTC,**16cccRecVBMApp,Voting in Person
32635220,Phone,2016-07-20 00:00:00 UTC,MSQ2016 State House,2 - Lean Dem
3763861,Phone,2018-09-18 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
3837403,Phone,2018-09-15 00:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3381667,Phone,2018-10-20 00:00:00 UTC,MSQ2018:CONG ID DCCC,4 - Lean GOP
3498081,Walk,2016-02-26 00:00:00 UTC,15 MSQ: Generic ID,5-Strong Republican
12716678,Walk,2016-10-23 00:00:00 UTC,MSQ2016 Vote Plan,Early Vote
3858011,Walk,2016-11-01 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
13248949,Walk,2018-01-08 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
37494389,Walk,2016-11-05 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
4067298,Walk,2016-11-07 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
4555536,Walk,2016-11-07 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3486441,Walk,2018-04-22 15:40:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
3486441,Walk,2018-04-22 15:40:00 UTC,MSQ2018: VOL DCCC,2= No
4457249,Walk,2018-07-30 00:00:00 UTC,MSQ2016 State House,2 - Lean Dem
3222073,Walk,2018-05-06 16:26:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
4098433,Walk,2018-07-03 16:18:00 UTC,MSQ2018: VOL DCCC,2= No
3458860,Walk,2017-12-17 16:54:00 UTC,MSQ2018: VOL DCCC,2= No
8820548,Walk,2018-10-21 15:20:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
12777375,Walk,2018-09-30 15:05:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
20227914,Walk,2016-10-20 00:00:00 UTC,MSQ2016 State House,2 - Lean Dem
3338114,Walk,2018-10-23 18:59:00 UTC,MSQ2018: VOL DCCC,2= No
3741872,Walk,2018-11-03 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Not Voting
3556988,SMS Text,2018-10-20 13:22:00 UTC,2018MSQ: Erly Vt Cmt,Mail
4198368,Phone,2015-03-17 00:00:00 UTC,15 MSQ: Generic ID,1 - Strong Democrat
2925290,Phone,2016-10-21 00:00:00 UTC,MSQ2016 POTUS,5 - Support GOP
3581391,Phone,2016-01-26 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
4321581,Phone,2018-07-12 00:00:00 UTC,MSQ2018: VOL DCCC,1= Yes
3537152,Phone,2016-10-25 00:00:00 UTC,**MSQ2016 Ticket,Ticket Splitter
3293878,Phone,2016-10-13 00:00:00 UTC,MSQ2016 State House,2 - Lean Dem
3636567,Phone,2018-08-25 15:00:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
3675668,Phone,2016-09-24 12:10:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3627171,Phone,2018-09-19 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
21053632,Phone,2018-10-28 00:00:00 UTC,2018MSQ: Erly Vt Cmt,Mail
3381043,Walk,2016-10-29 00:00:00 UTC,MSQ2016 Vote Plan,Early Vote
37356580,Walk,2016-10-23 16:17:00 UTC,MSQ2016 Commissioner,Not Voting
3847006,Walk,2017-12-21 00:00:00 UTC,MSQ2018: VOL DCCC,2= No
4535068,Walk,2016-09-03 00:00:00 UTC,MSQ2016 Yard Sign,Yes - Requested
4202169,Walk,2016-07-30 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
3381043,Walk,2016-10-29 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
37948931,Walk,2016-09-03 00:00:00 UTC,**MSQ2016 Ticket,1 - Strong Support
37674903,Walk,2018-02-19 00:00:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
11930973,Walk,2016-08-04 18:47:00 UTC,**SubVBMBallot,No Will Not
3293878,Walk,2018-01-22 00:00:00 UTC,MSQ2016 State House,2 - Lean Dem
33963188,Walk,2018-08-23 16:02:00 UTC,MSQ2018: VOL DCCC,2= No
4163729,Walk,2018-11-04 18:28:00 UTC,MSQ2018:CONG ID DCCC,2 - Lean Dem
4198368,Walk,2015-03-14 15:30:00 UTC,15 MSQ: Generic ID,2 - Lean Democrat
3499812,Walk,2018-10-27 12:32:00 UTC,MSQ2018: VOL DCCC,2= No
3217551,Walk,2018-08-19 18:03:00 UTC,MSQ2018:CONG ID DCCC,5 - Support GOP
2166997,Walk,2016-10-09 00:00:00 UTC,MSQ2016 State House,2 - Lean Dem
25179283,Walk,2017-12-23 14:10:00 UTC,MSQ2018: VOL DCCC,2= No
37282053,Walk,2018-09-24 12:21:00 UTC,MSQ2018: VOL DCCC,2= No
2832024,Walk,2018-03-03 12:19:00 UTC,MSQ2018: Pri-ID DCCC,2-Undecided
39006859,Phone,2018-10-23 00:00:00 UTC,2018MSQ: D Ticket ID,
3302669,Phone,2018-05-16 00:00:00 UTC,2018MSQ: CandidNomin,
37786073,Phone,2018-08-02 17:39:00 UTC,2018MSQ: D Ticket ID,
13326482,Phone,2018-10-23 00:00:00 UTC,2018MSQ: CandidNomin,
3919177,Phone,2018-07-17 00:00:00 UTC,2018MSQ: CandidNomin,
4167229,Phone,2018-09-15 00:00:00 UTC,2018MSQ: CandidNomin,
39333929,Phone,2018-08-12 00:00:00 UTC,2018MSQ: CandidNomin,
18610154,Phone,2018-10-24 00:00:00 UTC,2018MSQ: CandidNomin,
3386817,Phone,2018-10-19 00:00:00 UTC,2018MSQ: CandidNomin,
3202913,Phone,2018-09-23 00:00:00 UTC,2018MSQ: CandidNomin,
39058907,Phone,2018-11-03 00:00:00 UTC,2018MSQ: CandidNomin,
2135716,Phone,2018-09-27 00:00:00 UTC,2018MSQ: CandidNomin,
4275728,Walk,2018-09-09 00:00:00 UTC,2018MSQ: CandidNomin,
11946794,Walk,2018-09-09 00:00:00 UTC,2018MSQ: CandidNomin,
39341160,Walk,2018-10-16 14:41:00 UTC,2018MSQ: CandidNomin,
3741738,Walk,2018-02-11 00:00:00 UTC,2018MSQ: CandidNomin,
20315314,Walk,2018-10-16 00:00:00 UTC,2018MSQ: CandidNomin,
